GCN
69.84 $\pm$ 0.32,50.99 $\pm$ 3.91,82.09 $\pm$ 0.40,0.47 $\pm$ 0.61,0.44 $\pm$ 0.62,0.1277 $\pm$ 0.0308,0,1704630050,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 100.0, 'patience': 5, 'label_number': 100, 'sens_number': -1, 'ms_decor': 1.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'german', 'rank': 0}"
69.68 $\pm$ 0.16,56.04 $\pm$ 2.21,82.02 $\pm$ 0.09,0.47 $\pm$ 0.43,0.86 $\pm$ 0.25,0.1677 $\pm$ 0.0322,0,1704630123,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 100.0, 'patience': 5, 'label_number': 100, 'sens_number': -1, 'ms_decor': 1.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'german', 'rank': 0}"

Specformer
70.04 $\pm$ 0.55,55.14 $\pm$ 8.80,82.26 $\pm$ 0.38,0.49 $\pm$ 1.07,0.57 $\pm$ 1.03,0.0670 $\pm$ 0.0669,0,1704629307,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 128, 'orthogonality': 200.0, 'signal_dim': 128, 'patience': 20, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 100, 'sens_number': -1, 'ms_decor': 1.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'german', 'rank': 0}"
70.48 $\pm$ 1.51,63.70 $\pm$ 6.84,81.96 $\pm$ 1.04,2.03 $\pm$ 1.71,2.87 $\pm$ 1.15,0.0730 $\pm$ 0.0501,0,1704629463,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 128, 'orthogonality': 200.0, 'signal_dim': 128, 'patience': 20, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 100, 'sens_number': -1, 'ms_decor': 1.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'german', 'rank': 0}"
