GCN
85.48 $\pm$ 0.54,88.61 $\pm$ 1.00,79.98 $\pm$ 0.81,6.53 $\pm$ 0.39,4.58 $\pm$ 0.87,0.0728 $\pm$ 0.0027,0,1704630440,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 200, 'epoch_debias': 500, 'lr': 0.0002, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 500.0, 'patience': 0, 'label_number': 100, 'sens_number': -1, 'ms_decor': 2.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'bail', 'rank': 0}"
85.80 $\pm$ 0.41,89.22 $\pm$ 0.45,80.55 $\pm$ 0.35,6.74 $\pm$ 0.33,4.05 $\pm$ 0.60,0.0800 $\pm$ 0.0009,0,1704630539,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 700, 'epoch_debias': 0, 'lr': 0.0002, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 500.0, 'patience': 0, 'label_number': 100, 'sens_number': -1, 'ms_decor': 2.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'bail', 'rank': 0}"

Specformer
87.59 $\pm$ 1.25,91.13 $\pm$ 1.28,81.78 $\pm$ 1.63,5.70 $\pm$ 0.42,3.72 $\pm$ 0.85,0.0681 $\pm$ 0.0046,0,1704629653,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 200, 'epoch_debias': 500, 'lr': 0.0002, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 500.0, 'signal_dim': 128, 'patience': 0, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 100, 'sens_number': -1, 'ms_decor': 2.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0], 'decor_mode': 'orthogonal', 'power': 0.3, 'step': 0.2, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'bail', 'rank': 0}"
87.55 $\pm$ 0.57,91.91 $\pm$ 1.07,82.19 $\pm$ 0.66,6.71 $\pm$ 0.30,4.71 $\pm$ 0.54,0.0752 $\pm$ 0.0021,0,1704629814,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 700, 'epoch_debias': 0, 'lr': 0.0002, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 500.0, 'signal_dim': 128, 'patience': 0, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 100, 'sens_number': -1, 'ms_decor': 2.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0], 'decor_mode': 'orthogonal', 'power': 0.3, 'step': 0.2, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'bail', 'rank': 0}"
