GCN
79.42 $\pm$ 0.64,72.61 $\pm$ 1.44,33.38 $\pm$ 3.64,0.72 $\pm$ 0.55,4.09 $\pm$ 2.28,0.0711 $\pm$ 0.0189,0,1704630253,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'orthogonality': 200.0, 'patience': 5, 'label_number': 3000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'income', 'rank': 0}"
74.22 $\pm$ 1.78,76.61 $\pm$ 5.18,44.69 $\pm$ 16.87,20.93 $\pm$ 10.35,23.26 $\pm$ 11.34,0.2689 $\pm$ 0.0846,0,1704630343,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'orthogonality': 200.0, 'patience': 5, 'label_number': 3000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'income', 'rank': 0}"

Specformer
78.56 $\pm$ 0.33,54.49 $\pm$ 10.24,3.84 $\pm$ 5.21,0.12 $\pm$ 0.16,1.01 $\pm$ 1.32,0.0637 $\pm$ 0.0487,0,1704628455,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 64, 'filter_dim': 64, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 64, 'orthogonality': 100.0, 'signal_dim': 128, 'patience': 5, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 3000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'income', 'rank': 0}"
73.00 $\pm$ 0.74,82.14 $\pm$ 1.44,56.44 $\pm$ 0.57,23.02 $\pm$ 0.69,11.32 $\pm$ 1.10,0.2333 $\pm$ 0.0090,0,1704628622,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 64, 'filter_dim': 64, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 64, 'orthogonality': 100.0, 'signal_dim': 128, 'patience': 5, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 3000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'income', 'rank': 0}"
