GCN
67.39 $\pm$ 0.33,74.00 $\pm$ 0.45,65.92 $\pm$ 0.76,7.42 $\pm$ 1.97,7.68 $\pm$ 1.90,0.0785 $\pm$ 0.0233,0,1704630665,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 300, 'epoch_debias': 200, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 10.0, 'patience': 5, 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"
70.43 $\pm$ 0.25,77.19 $\pm$ 0.09,69.96 $\pm$ 0.49,9.26 $\pm$ 0.94,9.37 $\pm$ 1.12,0.0830 $\pm$ 0.0097,0,1704630838,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 10.0, 'patience': 5, 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"

GAT
69.91 $\pm$ 0.33,75.86 $\pm$ 0.35,70.17 $\pm$ 0.80,6.04 $\pm$ 1.82,5.37 $\pm$ 1.69,0.0630 $\pm$ 0.0248,0,1704633616,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 300, 'epoch_debias': 200, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 10.0, 'patience': 5, 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"
69.96 $\pm$ 0.40,75.97 $\pm$ 0.24,70.85 $\pm$ 0.33,7.76 $\pm$ 0.66,7.62 $\pm$ 0.77,0.0883 $\pm$ 0.0083,0,1704639656,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 10.0, 'patience': 5, 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"

Specformer
69.04 $\pm$ 0.60,74.93 $\pm$ 0.60,67.86 $\pm$ 1.30,0.95 $\pm$ 0.65,0.76 $\pm$ 0.59,0.0156 $\pm$ 0.0098,0,1704630059,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 300, 'epoch_debias': 200, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'layer', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 10.0, 'signal_dim': 128, 'patience': 5, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"
69.36 $\pm$ 0.29,74.87 $\pm$ 0.72,67.15 $\pm$ 0.59,6.11 $\pm$ 2.30,4.14 $\pm$ 1.70,0.0688 $\pm$ 0.0225,0,1704630300,"{'nlayer': 3, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 500, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'layer', 'eps': [-0.5], 'eigk': 256, 'orthogonality': 10.0, 'signal_dim': 128, 'patience': 5, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 500, 'sens_number': 200, 'ms_decor': 1.0, 'ms_bank': [0.5, 1.0, 1.5, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'pokec_z', 'rank': 0}"
